CourseID,CourseNumber,CourseTitle,DefaultCreditHours
1,ACCT 6301,Financial Accounting,3
2,ACCT 6202,Accounting for Managerial Decision-Making and Controls,2
3,FIN 6301,Financial Management,3
4,HMGT 6331,Healthcare Economics,3
5,IMS 6365,Cross-Cultural Management Analysis,3
6,MIS 6313,Managing IT in the Analytics Age,3
7,MKT 6301,Marketing Management,3
8,OB 6301,Organizational Behavior,3
9,OPRE 6301,Statistics and Data Analysis,3
10,OPRE 6302,Operations Management,3
11,BPS 6332,Strategic Leadership,3
12,OB 6377,Neuropsychology of Leaderhsip,3
13,OB 6382,Transformational Leadership,3
14,OB 6348,Leadership Concepts and Practices,3
15,HMGT 6332,Quality Improvement in Healthcare: Six Sigma & Beyond,3
16,OB 6356,Leadership Decision Making,3
17,OB 6346,Leading Organizational Change,3
18,OB 6334,Foundations of Organizational Development,3
19,OB 6331,Power & Politics,3
20,OB 6384,Managing Conflict in Personal & Professional Settings,3
21,OB 6357,Team Behavior and Dynamics,3
22,OB 6393,Artificial Intelligence in Organizational Behavior and Development,3
23,OB 6378,Appraising a Business Enterprise,3
24,OB 6370,Foundations of Organizational Consulting,3
25,OB 6374,Organizational Consulting: Theory and Practice of Individual an,3
26,OB 6379,Evaluating Culture in Organizations to Improve the Employee Values,3
27,OB 6372,The Business of Consulting,3
28,OB 6373,Organizational Consulting: Theory and Practice of System-Wide,3
29,OB 6350,Executive and Professional Coaching,3
30,OB 6248,Coaching Practice Lab 1,3
31,OB 6352,Advanced Coaching Models and Methods,3
32,OB 6253,Coaching Practicum,3
33,OB 6342,Organizational Diagnosis,3
34,OB 6351,Coaching in the Professional or Organizational Setting,3
35,OB 6249,Coaching Practice Lab 2,3
36,OB 6344,Organizational Development: Bridging Theory and Practice,3
